StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AK,CLPRB,11263,11497,13588,13307,11622,13931,14461,14430,11700,10405,8564,10889,10421,10826,10920,11950,11014,10998,11404,12308,12340,12605,12995,12262,13400,22355,24492,23275,27222,24679,26614,22402,23930,24976,24445,26489,23104,22620,20966,24414,25600,23618,17878,16864,23587,22682,22230,20654,23041,29016,33556,33524,31332,24917
AK,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,NGMPB,248,637,2205,4541,6332,7324,11374,14575,17508,51347,112636,122427,127755,134272,131761,163487,169318,191411,204894,222210,232344,244732,265372,278152,295471,336809,315801,404383,431000,436221,432359,500740,512422,496655,621304,546410,556012,551062,545546,540279,547942,552013,538153,561475,542458,547245,496012,488097,447422,442657,418483,404720,398349,379851
AK,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,PAPRB,3242,36697,59502,62292,64142,64542,83276,168931,383983,428927,484973,461065,422779,419473,409497,405037,367708,981366,2601996,2965743,3431547,3406555,3589678,3628057,3656326,3864151,3951598,4152539,4281229,3967078,3754392,3806824,3638468,3349471,3299916,3141593,2957994,2743104,2487330,2222554,2060154,2038184,2084416,2062497,1928158,1829245,1568790,1528851,1449269,1365848,1269643,1188008,1115734,1090133
AK,REPRB,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10706,12000,12759,18342,18357,17357,18300,20551,23587,22506,21187,14994,13291,10212,12205,16974,17922,19374,18416,15867,13298,14037,12913,15686,16525,15723,17683,18616
AK,ROPRB,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10706,12000,12759,18342,18357,17357,18300,20551,23587,22506,21187,14994,13291,10212,12205,16974,17922,19374,18416,15867,13298,14037,12913,15686,16525,15723,17683,18616
AK,TEPRB,21554,56144,82748,87933,90198,94316,117440,206393,421678,499135,615009,603475,569628,572417,560508,589081,557241,1195224,2829103,3210995,3684552,3673107,3876789,3928061,3976349,4235098,4302597,4592198,4752211,4446320,4231722,4347323,4193120,3891653,3969253,3736998,3558296,3331780,3067133,2797459,2645900,2630790,2658369,2660210,2512619,2415039,2100329,2051639,1932646,1853207,1738207,1641976,1563098,1513517
AK,TETCB,61434,72174,78813,80788,85067,87781,102698,115172,122532,156633,182043,200968,214384,196970,201495,232186,254674,293532,324057,299782,295757,279672,409072,437637,482898,474439,504260,499218,521404,576194,584083,602660,627237,623702,623159,704170,718796,708823,723309,725402,742138,735820,732972,733500,775038,797700,746316,723083,650420,630076,641160,639290,635543,608982
AL,CLPRB,318818,316466,315608,302842,353712,363440,348419,379465,402842,427738,503797,439720,510021,453403,463397,534693,508453,505588,492162,579943,633365,592489,645392,577139,657109,676254,634516,627490,649791,680322,707762,662161,623932,600869,568577,607150,607031,600683,568308,477574,472699,469962,460201,486363,531179,518423,443032,469036,506837,459529,493094,468671,488084,469162
AL,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,NGMPB,94,92,211,291,273,334,415,408,378,296,1032,688,4195,11942,29487,40035,43744,60496,91431,96795,75631,90343,87325,102199,113715,120284,119010,129279,141542,140747,147737,184047,374146,408989,540147,543450,557090,411801,414383,423535,415806,391949,390848,375335,349063,328057,327590,309281,290388,268149,257442,226821,230392,211772
AL,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,70195,29978,46557,210228,249788,240321,256310,260780,306734,274203,262518,152028,122308,117450,137623,121962,127533,166430,203111,187216,214054,218045,312018,310336,300698,322826,327143,317019,332650,330137,329898,330761,332992,360036,407551,415392,396557,411822,427975,426488
AL,PAPRB,42508,40200,43343,53215,49288,46771,46574,42618,44283,44666,42125,45426,57617,67727,77273,78167,85295,105862,115008,111134,128487,119944,116081,108727,114863,125170,122508,119521,120623,114915,107520,108095,110345,108327,106401,108640,97834,86026,71908,64513,60651,54137,50089,45785,43169,45594,43726,41592,44637,41696,41499,48563,55245,60268
AL,REPRB,112809,118021,125564,112682,137992,121888,121238,144384,129673,131856,132471,158182,164946,181706,166734,184701,160994,174751,148341,190737,238766,213355,265453,281940,287856,247353,213815,229572,213088,302391,251669,255593,255017,268151,332536,320105,323376,299680,317071,290201,263309,251530,252696,283435,290704,279609,266165,228175,233398,264512,231017,244054,231493,295788
AL,ROPRB,112809,118021,125564,112682,137992,121888,121238,144384,129673,131856,132471,158182,164946,181706,166734,184701,160994,174751,148341,190737,238766,213355,265453,281940,287856,247353,213815,229572,213088,302391,251669,255593,255017,268151,332536,320105,323376,299680,317071,290201,263309,251530,252696,283435,290704,279609,266165,228175,233398,264512,231017,244054,231493,295788
AL,TEPRB,474229,474779,484726,469030,541265,532433,516645,566875,577176,604556,679425,644016,736780,718203,807086,867574,845043,1056925,1096730,1218930,1332560,1276911,1420985,1344208,1436061,1321089,1212158,1223311,1262666,1360337,1342221,1376325,1566551,1573551,1761715,1797390,1897350,1708525,1672368,1578649,1539607,1484597,1486484,1521056,1544014,1502443,1413505,1408120,1482812,1449278,1419610,1399932,1433190,1463477
AL,TETCB,866851,831574,881582,913539,979643,1044971,1088594,1138614,1246729,1343234,1393617,1385063,1478196,1527391,1547838,1515313,1551983,1623676,1638624,1649050,1645058,1604167,1499225,1446066,1544689,1519791,1504837,1582744,1651823,1683264,1665543,1682950,1753456,1806217,1898428,1972487,2005028,1972624,2018519,2061519,2111723,1918064,1978979,1970879,2083775,2065029,2102525,2088237,2011565,1819004,1948298,1920515,1892948,1931397
AR,CLPRB,9178,8864,5745,4959,4757,5071,5296,4241,4735,5116,6014,6193,9604,9093,10210,10766,11983,12634,12616,5632,7158,5139,3613,1975,1840,1795,3747,1885,6193,1571,1324,1167,1302,987,1144,651,471,404,539,494,269,381,314,180,157,67,516,1863,1548,112,718,2985,2077,1433
AR,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,NGMPB,57393,61632,68532,78766,78834,85732,108857,120603,162112,175184,187702,177562,169378,159338,125478,117374,110569,107369,108285,113634,114473,95566,127217,132637,140013,159999,135759,145562,169930,176657,177929,168003,204994,199973,192729,202256,228372,212525,193607,173922,175493,170163,166257,175399,189926,193589,278737,273920,453366,691086,938101,1090870,1164029,1164351
AR,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024,53676,42614,54759,57113,42139,85438,100093,82852,83380,117188,105042,93900,118720,94309,93599,119387,132746,118591,142032,145531,122486,140285,149100,137403,135009,121516,154356,152024,153093,161111,142864,158952,162434,148085,158663,157017,148531,162353,124816
AR,PAPRB,174679,169627,160364,158955,155075,150394,138179,122235,112891,104684,104603,105925,107410,104493,95857,93571,104963,117172,117908,109440,105618,106442,109324,109324,108634,110455,91512,82534,78915,65314,60239,59769,59508,57855,55494,51678,51121,48888,46388,41470,41493,44034,42062,41812,39133,35815,34498,34980,35258,33379,33251,34087,37909,38512
AR,REPRB,48104,51144,47637,41897,42732,46425,51697,46124,64986,64813,56933,53579,53917,81723,81339,71589,62300,69746,77088,80773,69996,68190,77582,95310,91421,109186,91234,86688,92546,119781,110021,109849,112613,133675,119612,117508,118054,124083,114968,110867,108679,94047,108662,107944,112946,112465,100009,120747,123371,124227,118620,114775,106470,109961
AR,ROPRB,48104,51144,47637,41897,42732,46425,51697,46124,64986,64813,56933,53579,53917,81723,81339,71589,62300,69746,77088,80773,69996,68190,77582,95310,91421,109186,91234,86688,92546,119781,110021,109849,112613,133675,119612,117508,118054,124083,114968,110867,108679,94047,108662,107944,112946,112465,100009,120747,123371,124227,118620,114775,106470,109961
AR,TEPRB,289353,291267,282278,284577,281398,287622,304029,293202,344724,349798,355251,343260,340310,354646,316907,346976,332428,361679,373011,351619,382684,375429,400589,422626,459096,486478,416153,435389,441893,456921,468900,471534,497008,534522,514510,494579,538304,535001,492905,461761,447450,462981,469319,478427,503273,484800,572712,593944,761628,1007467,1247707,1391247,1472837,1439073
AR,TETCB,426405,432030,457213,485089,527688,529133,566462,596758,635446,681147,709020,700849,744791,820242,798522,785929,841074,886514,887235,872845,859453,821962,792669,796758,799105,789635,759661,736276,817841,882991,855939,845526,874462,949133,980036,1030800,1048242,1067518,1087632,1104999,1145639,1100559,1122811,1104336,1095462,1118740,1114880,1128862,1110529,1038916,1114393,1112865,1061419,1092957
AZ,CLPRB,132,0,0,0,0,0,0,22,0,0,2915,25305,65228,71697,142379,154259,230085,244195,199923,251482,240795,256340,273011,251813,254419,212531,255170,251261,273762,263538,249018,290251,275298,267527,288013,262514,228630,256500,247729,258148,286772,293303,280064,262251,278231,263426,179356,173934,173998,160706,167930,174841,161374,163691
AZ,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3847,7486,7552,7909,7724,5462,0
AZ,NGMPB,0,0,244,1413,2144,3289,3347,1329,933,1203,1166,919,468,132,239,219,276,253,305,258,224,197,104,138,47,89,65,62,58,1414,2193,1256,795,614,772,577,468,461,464,481,373,312,306,447,337,239,623,670,537,727,186,171,119,74
AZ,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12005,105540,140532,243215,83080,217965,263104,268149,231601,242182,283526,302902,307623,317888,317843,316839,299966,322260,297872,293158,269327,250568,280920,305726,320692,326102,327292,334636,328423
AZ,PAPRB,423,423,226,394,371,563,766,16959,19546,14111,10347,7169,5759,4663,4292,3683,3010,2477,2424,2738,2355,2071,1943,1375,1247,1015,934,760,655,795,702,644,545,423,377,412,487,476,452,383,342,342,365,273,313,290,319,249,302,267,232,215,302,348
